Timestamp,acc.z,ext_pos.Z,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
239507,1.0001540184020996,0.0,0,0,0,0
239607,1.0010147094726562,0.0,0,0,0,0
239707,1.0004222393035889,0.0,0,0,0,0
239807,1.0003300905227661,0.0,0,0,0,0
239907,1.000178337097168,0.0,0,0,0,0
240007,1.0014413595199585,0.0,0,0,0,0
240107,1.0007264614105225,0.0,0,0,0,0
240207,1.0009151697158813,0.0,0,0,0,0
240307,1.0015637874603271,0.0,0,0,0,0
240407,1.0000758171081543,0.0,0,0,0,0
240507,1.0025627613067627,0.0,0,0,0,0
240607,1.000920057296753,0.0,0,0,0,0
240707,0.9986645579338074,0.0,0,0,0,0
240807,1.0003169775009155,0.0,0,0,0,0
240907,0.9985244870185852,0.0,0,0,0,0
241007,1.0005278587341309,0.0,0,0,0,0
241107,1.00186288356781,0.0,0,0,0,0
241207,1.0030841827392578,0.0,0,0,0,0
241307,1.0014537572860718,0.0,0,0,0,0
241407,1.000550627708435,0.0,0,0,0,0
241507,0.9998703002929688,0.0,0,0,0,0
241607,0.9996286034584045,0.0,0,0,0,0
241707,1.0003705024719238,0.0,0,0,0,0
241807,1.0016474723815918,0.0,0,0,0,0
241907,1.0010617971420288,0.0,0,0,0,0
242007,0.9992906451225281,0.0,0,0,0,0
242107,1.002356767654419,0.0,0,0,0,0
242207,1.0000442266464233,0.0,0,0,0,0
242307,0.9994980096817017,0.0,0,0,0,0
242407,1.0014513731002808,0.0,0,0,0,0
242507,1.00151526927948,0.0,0,0,0,0
242607,0.9989581108093262,0.0,0,0,0,0
242707,1.0016756057739258,0.0,0,0,0,0
242807,0.9973074197769165,0.0,0,0,0,0
242907,0.9997128248214722,0.0,0,0,0,0
243007,1.0023348331451416,0.0,0,0,0,0
243107,0.9987098574638367,0.0,0,0,0,0
243207,0.9994747042655945,0.0,0,0,0,0
243307,1.0015159845352173,0.0,0,0,0,0
243407,1.000176191329956,0.0,0,0,0,0
243507,1.0011229515075684,0.0,0,0,0,0
243607,1.0004653930664062,0.0,0,0,0,0
243707,0.9996963143348694,0.0,0,0,0,0
243807,1.000548243522644,0.0,0,0,0,0
243907,1.0023361444473267,0.0,0,0,0,0
244007,0.9996464252471924,0.0,0,0,0,0
244107,1.0002906322479248,0.0,0,0,0,0
244207,0.9993500709533691,0.0,0,0,0,0
244307,1.0018751621246338,0.0,0,0,0,0
244407,1.0016627311706543,0.0,0,0,0,0
244507,0.9999172687530518,0.0,0,0,0,0
244607,1.0034334659576416,0.0,0,0,0,0
244707,1.0000845193862915,0.0,0,0,0,0
244807,1.0004475116729736,0.0,0,0,0,0
244907,1.0007193088531494,0.0,0,0,0,0
245007,1.0019023418426514,0.0,0,0,0,0
245107,1.0006699562072754,0.0,0,0,0,0
245207,0.9997704029083252,0.0,0,0,0,0
245307,1.0015718936920166,0.0,0,0,0,0
245407,0.997052788734436,0.0,0,0,0,0
245507,1.0026863813400269,0.0,0,0,0,0
245607,0.9972884058952332,0.0,0,0,0,0
245707,1.0007729530334473,0.0,0,0,0,0
245807,1.0002020597457886,0.0,0,0,0,0
245907,0.9980977177619934,0.0,0,0,0,0
246007,1.0017149448394775,0.0,0,0,0,0
246107,0.9991632103919983,0.0,0,0,0,0
246207,0.9992203712463379,0.0,0,0,0,0
246307,0.9995386600494385,0.0,0,0,0,0
246407,1.0007838010787964,0.0,0,0,0,0
